country_name,growth,rgdp60,tradeshare,yearsschool,rev_coups,assasinations
"India",1.915168,765.9998,.140502,1.45,.1333333,.8666667
"Argentina",.6176451,4462.001,.156623,4.99,.9333333,1.933333
"Japan",4.304759,2954,.1577032,6.71,0,.2
"Brazil",2.930097,1784,.1604051,2.89,.1,.1
"United States",1.712265,9895.004,.160815,8.66,0,.4333333
"Bangladesh",.7082631,951.9998,.2214584,.79,.3064815,.175
"Spain",2.880327,3123.001,.2994059,3.8,.0666667,1.433333
"Colombia",2.227014,1684,.3130729,2.97,.1,.7666667
"Peru",.060206,2019,.3246127,3.02,.2666667,.5666667
"Haiti",-.6579341,923.9999,.3247456,.7,.3740741,.2
"Australia",1.975147,7782.002,.3294792,9.03,0,.0666667
"Italy",2.932981,4564,.3300217,4.56,.0333333,1.2
"Greece",3.22405,2093,.337879,4.37,.1666667,.1666667
"France",2.431281,5823,.3397062,4.65,0,.3
"Zaire",-2.811944,488.9999,.3523176,.54,.1481481,.0555556
"Uruguay",1.025309,3968,.3588567,5.07,0,.1666667
"Mexico",1.973942,2836,.3932509,2.41,0,.1666667
"Pakistan",2.698163,638,.4176039,.63,.2666667,.2666667
"Niger",-2.751478,531.9999,.4258372,.2,.1333333,0
"Bolivia",.3550578,1148,.4355793,4.68,.9703704,.2
"Germany",2.453688,6569.999,.4421429,7.64,.0666667,.2333333
"Canada",2.385988,7257.997,.4443746,8.07,0,.0666667
"United Kingdom",1.962219,6822.999,.4505467,7.67,.2666667,.3333333
"New Zealand",1.124132,7960.001,.4557693,9.55,0,0
"Philippines",1.158741,1133,.4683466,3.77,.7333333,1.033333
"Finland",2.798494,5291.002,.4732549,7.51,0,0
"Venezuela",-.8835508,6337.998,.4846008,2.53,.2666667,.1
"Korea, Republic of",7.156855,904.0001,.4889496,3.23,.3333333,.1
"Guatemala",.9292306,1660,.5095903,1.42,.5407407,2.466667
"Honduras",.5977848,1039,.5176646,1.69,.2666667,.0666667
"El Salvador",-.6075561,1427,.5277733,1.7,.6333333,1.733333
"Chile",1.446995,2885,.5346847,4.99,.1666667,.4666667
"Thailand",4.876695,943,.5433371,3.45,.4,.0333333
"Sweden",1.888134,7592.002,.5442435,7.67,0,0
"Senegal",-.4378241,1047,.5508126,1.62,.0333333,.0666667
"Trinidad and Tobago",1.120786,5627.002,.5527223,4.31,.0333333,0
"Ecuador",2.388093,1461,.5606425,2.95,.5333334,0
"Denmark",2.17937,6759.999,.5607497,10.07,0,0
"Switzerland",1.421865,9408.997,.567131,6.87,0,0
"Austria",2.889185,5143.001,.5752748,3.65,0,0
"Zimbabwe",.8381555,988.9999,.5828143,1.54,.2,.2333333
"Paraguay",2.381932,1177,.6030353,3.35,.0666667,.0333333
"Costa Rica",1.613697,2096,.6050313,3.92,0,0
"Portugal",3.64731,1869,.6136169,1.94,.2333333,0
"Togo",.4627753,366.9999,.6260797,.27,.1666667,.0333333
"Iceland",3.012389,4963.999,.6394842,5.63,0,0
"Israel",2.810969,3476.999,.6469135,6.99,.0666667,.2
"South Africa",.3920211,2191,.6512036,4.06,.1,.3666667
"Norway",3.182494,5610,.6815552,5.56,0,0
"Sierra Leone",-.3398342,877.9999,.6994329,.53,.4740741,.0333333
"Dominican Republic",2.498769,1195,.7048199,2.38,.3,.2
"Ghana",-.9631622,894,.7292323,.69,.4370371,.1
"Sri Lanka",2.704598,1259,.7429716,3.43,.2,.2
"Taiwan, China",6.624734,1256,.7454978,3.32,.0333333,.0666667
"Panama",2.027189,1575,.7798471,4.26,.1333333,.0666667
"Papua New Guinea",1.120371,1235,.7983758,1.13,.0333333,0
"Kenya",1.962509,659.0001,.81471,1.2,.0333333,.1444445
"Ireland",3.254494,3310.999,.8229564,6.45,0,.0666667
"Jamaica",.4177902,1773,.8302383,2.46,0,.1333333
"Netherlands",2.200577,6076.997,.8342042,5.27,0,0
"Cyprus",5.384184,2037,.9793554,4.29,.1,.1666667
"Malaysia",4.114544,1420,1.105364,2.34,.0333333,.0333333
"Belgium",2.651335,5495.002,1.115917,7.46,0,0
"Mauritius",3.024178,2861.999,1.127937,2.44,0,0
"Malta",6.652838,1374,1.992616,5.64,0,0
