gcng,gcngq,gdc,gydq,pop16,pg,inc,gexp,t
10.9,37.9,26.8,1267.7,114714.3,4.67575,-4.505241,-8.015249,1959q1
11.2,38.2,26.9,1288.4,115139,4.691292,-4.492739,-8.01106,1959q2
11.2,38,27.1,1285.1,115550.7,4.689134,-4.498873,-8.019878,1959q3
11.7,38.4,27.1,1298.2,115918,4.722338,-4.491904,-8.012581,1959q4
11.6,38.5,27.2,1309.4,116707.7,4.70747,-4.490103,-8.016769,1960q1
12.1,40.2,27.4,1314.4,117036.7,4.699136,-4.489107,-7.976376,1960q2
12.2,39.5,27.5,1314.4,117411,4.72129,-4.492301,-7.997135,1960q3
12.2,39.3,27.6,1313.8,117824.3,4.722736,-4.496271,-8.005726,1960q4
12,39.3,27.6,1328.2,118254.3,4.706207,-4.489013,-8.009369,1961q1
11.9,40.2,27.6,1347.6,118636,4.675196,-4.477735,-7.989948,1961q2
12.1,39.8,27.8,1362.6,119000.7,4.694643,-4.469735,-8.003017,1961q3
12.1,40,27.9,1387.2,119189.7,4.68604,-4.453429,-7.999592,1961q4
12.3,41.1,28,1399,119378.7,4.671727,-4.446543,-7.974048,1962q1
12.5,41.3,28.1,1410.9,119819.3,4.679437,-4.441757,-7.972878,1962q2
12.5,41.6,28.2,1420.6,120368,4.668647,-4.439475,-7.970209,1962q3
13,42.1,28.4,1428.8,121045.7,4.688853,-4.439333,-7.963875,1962q4
13,42.5,28.5,1438.9,121640,4.675881,-4.437187,-7.959317,1963q1
12.9,43,28.6,1449.3,122166.7,4.652961,-4.434306,-7.951941,1963q2
12.9,42.6,28.7,1464.8,122669.7,4.658816,-4.427776,-7.965396,1963q3
13,43,28.8,1491.4,123188.7,4.653714,-4.414002,-7.960272,1963q4
13.3,44.2,28.9,1519.2,123708,4.645538,-4.39974,-7.936954,1964q1
13.5,45,29.1,1555.9,124203,4.635629,-4.379863,-7.92301,1964q2
13.7,45.7,29.2,1576.5,124739.3,4.631469,-4.371019,-7.911883,1964q3
13.8,45.6,29.3,1597.2,125289,4.637514,-4.362371,-7.918471,1964q4
14.2,45.9,29.5,1607.6,125814,4.652727,-4.360062,-7.916095,1965q1
14.7,47.1,29.6,1630.5,126324.7,4.658141,-4.349968,-7.894338,1965q2
14.9,47.5,29.8,1672.7,126745,4.656464,-4.327738,-7.889203,1965q3
15.3,48.5,30,1703,127169.3,4.655432,-4.313128,-7.871711,1965q4
