week,price,cartel,quantity,seas1,seas2,seas3,seas4,seas5,seas6,seas7,seas8,seas9,seas10,seas11,seas12,ice
1,.4,1,13632,1,0,0,0,0,0,0,0,0,0,0,0,1
2,.4,1,20035,1,0,0,0,0,0,0,0,0,0,0,0,1
3,.4,1,16319,1,0,0,0,0,0,0,0,0,0,0,0,1
4,.4,1,12603,1,0,0,0,0,0,0,0,0,0,0,0,1
5,.4,1,23079,0,1,0,0,0,0,0,0,0,0,0,0,1
6,.4,1,19652,0,1,0,0,0,0,0,0,0,0,0,0,1
7,.4,1,16211,0,1,0,0,0,0,0,0,0,0,0,0,1
8,.4,1,22914,0,1,0,0,0,0,0,0,0,0,0,0,1
9,.4,1,23710,0,0,1,0,0,0,0,0,0,0,0,0,1
10,.35,1,23036,0,0,1,0,0,0,0,0,0,0,0,0,1
11,.35,1,38414,0,0,1,0,0,0,0,0,0,0,0,0,1
12,.35,1,46906,0,0,1,0,0,0,0,0,0,0,0,0,1
13,.35,1,58608,0,0,0,1,0,0,0,0,0,0,0,0,1
14,.35,1,51225,0,0,0,1,0,0,0,0,0,0,0,0,1
15,.35,1,37339,0,0,0,1,0,0,0,0,0,0,0,0,0
16,.3,1,20298,0,0,0,1,0,0,0,0,0,0,0,0,0
17,.3,1,13699,0,0,0,0,1,0,0,0,0,0,0,0,0
18,.3,1,11944,0,0,0,0,1,0,0,0,0,0,0,0,0
19,.3,1,10658,0,0,0,0,1,0,0,0,0,0,0,0,0
20,.3,1,9756,0,0,0,0,1,0,0,0,0,0,0,0,0
21,.3,1,9546,0,0,0,0,0,1,0,0,0,0,0,0,0
22,.3,1,16713,0,0,0,0,0,1,0,0,0,0,0,0,0
23,.3,1,16389,0,0,0,0,0,1,0,0,0,0,0,0,0
24,.3,1,23179,0,0,0,0,0,1,0,0,0,0,0,0,0
25,.3,1,34999,0,0,0,0,0,0,1,0,0,0,0,0,0
26,.3,1,35267,0,0,0,0,0,0,1,0,0,0,0,0,0
27,.3,1,20402,0,0,0,0,0,0,1,0,0,0,0,0,0
